Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.8,72.112,72.348,72.513,72.626,72.716,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,75.087
Armenia,ARM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,26.1,24.5,21.1,16,12.3,9.3,6.9,5.6,4.4,3.7,3.4,3.2,3.2,2.8,2.8,2.7,2.8,2.9,3.1
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,76.293
Aruba,ABW,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.8414634146341,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9
Australia,AUS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.5756097560976,78.6780487804878,78.6317073170732,79.1804878048781,79.3317073170732,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195
Austria,AUT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.201,70.597,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864,73.005
Azerbaijan,AZE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,17,13.4,10.4,7.4,4.8,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.954,71.977,71.986,71.988,71.987,71.988,71.998,72.022,72.067,72.144,72.263,72.424,72.62,72.847,73.088,73.329,73.554,73.752,73.918
"Bahamas, The",BHS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163,77.292
Bahrain,BHR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.956,66.43,66.886,67.331,67.773,68.213,68.648,69.072,69.485,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,72.591
Bangladesh,BGD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,15.9,15.1,14.9,14.4,14.2,13.8,13.9,13.6,14.8,15.2,15.8,15.3,15,14.1,14,13.3,12.5,11.5,11
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.362,77.534,77.682,77.808,77.915,78.009,78.097,78.184,78.272,78.364,78.456,78.547,78.633,78.717,78.801,78.888,78.981,79.081,79.19
Barbados,BRB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.4,6.2,6.7,6.2,6.1,5.3,5.3,4.9,4.5,4.3,4.2,4.4,4.4,4.4,4.3,4.4,4.3,4.1,3.7
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5073170731707,68.0560975609756,68.5536585365854,68.9560975609756,68.8512195121951,69.4048780487805,70.2073170731707,70.4560975609756,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927
Belarus,BLR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5,2.7,3.3,3.3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.9731707317073,78.0756097560976,78.1292682926829,78.8780487804878,78.9804878048781,79.380487804878,79.7829268292683,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195
Belgium,BEL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.04,69.272,69.511,69.749,69.998,70.286,70.636,71.059,71.541,72.057,72.57,73.044,73.452,73.782,74.034,74.219,74.365,74.496,74.623
Belize,BLZ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.8,5.4,5.5,5.5,5.7,5.8,6.6,7.1,6.9,6.5,6.4,6.8,7.4,7.7,7.8,7.2,7,6.7,6.8
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.318,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47,61.771
Benin,BEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,17.2,15.5,13.7,13.2,12,11,10.1,9,8.8,8.2,7.9,7.6,7.5,7.4,7.3,7.6,7.9,8.1,7.7
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.8853658536585,78.0878048780488,78.3341463414634,78.4853658536585,78.6853658536586,78.8878048780488,78.9341463414634,79.2365853658537,79.3884390243903,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731707,81.0121951219512,81.2270731707317,81.4419512195122,81.6517073170732,81.8665853658537
Bermuda,BMU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.808,62.728,63.624,64.483,65.289,66.031,66.709,67.325,67.882,68.384,68.84,69.263,69.662,70.046,70.419,70.781,71.129,71.46,71.777
Bhutan,BTN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.054,63.64,64.21,64.766,65.312,65.853,66.395,66.937,67.476,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.239,71.513
Bolivia,BOL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,27.9,26.9,27.7,27.7,26.8,24.6,23.9,24.7,22.9,20.4,17.3,16.7,16.5,15.6,14.3,13.1,12.5,12.1,11.9
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.637,74.803,74.941,75.068,75.198,75.342,75.498,75.665,75.844,76.031,76.219,76.401,76.569,76.723,76.865,76.998,77.128,77.262,77.401
Bosnia and Herzegovina,BIH,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.2,3,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.281,50.232,50.518,51.15,52.13,53.435,54.983,56.679,58.447,60.211,61.91,63.511,64.976,66.265,67.338,68.178,68.812,69.275,69.592
Botswana,BWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,23.7,24.1,24.5,23.7,22.6,22.3,22.2,22,21.9,21.5,21,20.3,19.7,19.3,19.6,20.1,21.3,21.5,22.1
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.462,70.813,71.17,71.531,71.896,72.26,72.618,72.966,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672,75.881
Brazil,BRA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,10.7,9.3,7.9,6.8,6.5,6.2,5.6,5.1,4.3,3.7,3.2,3,2.8,2.5,2.5,2.5,2.5,2.5,2.6
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.076,73.332,73.575,73.801,74.006,74.189,74.351,74.494,74.623,74.74,74.852,74.962,75.075,75.193,75.318,75.45,75.585,75.722,75.86
Brunei Darussalam,BRN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,20,19.3,18.3,17.7,17,16.2,15.2,14.2,12.8,11.4,10,9.2,8.4,8,7.4,6.8,6.2,5.8,5.8
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.7682926829268,71.8658536585366,72.0658536585366,72.5634146341463,72.5609756097561,72.6121951219512,72.6634146341463,72.9634146341463,73.4121951219512,73.5121951219512,74.1634146341463,74.3146341463415,74.8609756097561,74.4658536585366,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464,75.1121951219512
Bulgaria,BGR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4,4.2,4.5,4.9,4.9,5.1,4.6,4.5,4.1,4,4,3.7,3.2,3.3,3.4,3.5,3,2.8,3
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.893,51.384,51.956,52.602,53.31,54.063,54.841,55.618,56.377,57.096,57.761,58.374,58.937,59.45,59.919,60.354,60.768,61.174,61.577
Burkina Faso,BFA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,22.6,20.5,18.6,18.1,17.5,17.1,16,15.4,14.1,13.3,12.6,12.2,11.8,11.8,12,12.3,12.4,12.7,14.1
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.93,50.81,51.69,52.547,53.369,54.163,54.944,55.721,56.488,57.228,57.925,58.568,59.148,59.665,60.123,60.528,60.898,61.247,61.584
Burundi,BDI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.099,69.557,69.932,70.219,70.424,70.565,70.676,70.786,70.911,71.062,71.243,71.445,71.661,71.886,72.117,72.347,72.57,72.782,72.981
Cabo Verde,CPV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,14.5,14.4,13.1,11.3,11,11.4,12.3,13.1,14.1,14.2,14.1,14.3,15.1,16.2,16.8,17,16.2,15.4,14.5
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.335,60.283,61.241,62.186,63.088,63.927,64.697,65.394,66.014,66.56,67.043,67.48,67.888,68.273,68.637,68.977,69.289,69.57,69.823
Cambodia,KHM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,23.6,21.2,19.4,18.5,17,15.6,14.8,14.5,13,11.2,9.7,9.5,9.4,9.2,8.9,8.5,7.7,6.6,6
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.222,51.536,51.908,52.321,52.76,53.215,53.681,54.153,54.627,55.101,55.581,56.073,56.576,57.083,57.583,58.063,58.511,58.921,59.292
Cameroon,CMR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,22.9,20.7,19.3,17.6,15.9,14.1,12.6,11.2,8.8,7.1,5.6,5.2,5.2,5.3,5.4,5.9,6.6,6.9,6.7
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.3390243902439,79.490243902439,79.7414634146342,79.8926829268293,80.1926829268293,80.3439024390244,80.5439024390244,80.6951219512195,80.9951219512195,81.2463414634146,81.4487804878049,81.6487804878049,81.7487804878049,81.8,81.9,81.9,81.9,82.0487804878049,82.0487804878049
Canada,CAN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.537999419379,71.7133625669446,71.7919937858925,71.923541000794,72.0557087318544,72.1870360757779,72.3160565360721,72.4407885010072,72.5617494160666,72.6794042337237,72.7952950904323,72.9118093762699,73.0301385446206,73.1505917872827,73.2730249020468,73.395957988226,73.5174899503021,73.6371062810432,73.7547323090936
Caribbean small states,CSS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.15621695286026,7.96216073417963,8.11623663370748,8.17644095364358,8.19606158272397,8.07816536524849,8.2971681795691,8.5138134027439,8.69354384766947,8.51687196223385,8.37941176282105,8.13940747836201,8.05145328268104,7.85799917862904,8.10731090306818,7.89318479472262,7.72972213842585,7.2072055285103,6.97001160471723
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,82.190243902439,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.061,44.063,44.182,44.413,44.744,45.158,45.636,46.161,46.719,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805,53.283
Central African Republic,CAF,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,39.2,40.1,40.6,40.5,39.6,37.7,35.7,33.3,31.9,30.3,29.6,33,40.2,47.9,49.9,48.6,46.1,46.8,49.2
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.0961481937343,73.2424154880921,73.3822527825258,73.7304349327381,73.8449951359211,74.0926027308098,74.2506487210768,74.5759526780779,74.9303639266576,75.2939657786314,75.8884748834282,75.993488603453,76.3551629869808,76.6756236113045,76.5718777647788,76.9698114171911,76.9474426395729,76.9768226818402,77.2668440868557
Central Europe and the Baltics,CEB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.02295241370008,2.92736467477378,2.88738407494429,2.87032006518168,2.82534262608677,2.84431568831216,2.79827279405521,2.76566458051043,2.72672799908588,2.73531534187608,2.77681713941049,2.74563893189801,2.70040182723741,2.72861416072182,2.73590193585795,2.73266628268417,2.63502534327451,2.59492039722738,2.59797855913779
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.789,47.9,48.057,48.27,48.549,48.907,49.335,49.82,50.346,50.89,51.424,51.928,52.386,52.789,53.137,53.438,53.712,53.977,54.239
Chad,TCD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,38.8,37.6,38,37.1,37.8,38.4,39.2,40.1,35.7,31.4,26,25.4,25.6,27,28,28.5,29.1,30.3,31.7
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.3,79.548,79.795,80.045,80.298,80.553,80.802,81.041,81.268,81.483,81.688,81.883,82.071,82.252,82.429,82.6,82.766,82.928,83.086
Channel Islands,CHI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.634,76.894,77.146,77.391,77.63,77.865,78.099,78.33,78.558,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042,80.181
Chile,CHL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.4,3.2,3.2,3.2,3.1,3.1,3.1,3.4,3.5,3.4,3.3,3.1,3.1,3,3.1,3.1,2.9,2.7,2.6
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,76.912
China,CHN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,10,9.4,8.6,7.9,7,6.1,5,4,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.241,73.517,73.777,74.026,74.265,74.5,74.732,74.962,75.193,75.424,75.655,75.882,76.105,76.322,76.531,76.732,76.925,77.109,77.287
Colombia,COL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.7,9.1,9.8,10.6,11.2,11.4,11,11.3,12.1,12.9,12.3,10.7,8.9,7.5,6.5,6,5.9,6.2,7.2
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.529,59.617,59.738,59.904,60.126,60.407,60.734,61.094,61.475,61.862,62.24,62.595,62.922,63.214,63.471,63.7,63.912,64.118,64.321
Comoros,COM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.909,57.427,57.914,58.381,58.828,59.254,59.655,60.026,60.368,60.681
"Congo, Dem. Rep.",COD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,32.2,33.7,34.5,34.7,34.6,34.6,34.5,34.5,34.5,34.2,34.5,35.1,35.1,35.1,35.5,36,36.4,36.3,37.7
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.517,53.091,53.817,54.667,55.6,56.573,57.541,58.466,59.321,60.093,60.785,61.423,62.022,62.582,63.097,63.556,63.954,64.29,64.57
"Congo, Rep.",COG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,27,26.4,26.4,31.7,34,36.6,35.4,35.5,36,36.5,35.9,32.9,28.2,25.3,25.2,26.4,28.3,29.3,29.9
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.601,77.74,77.871,77.996,78.117,78.239,78.362,78.491,78.626,78.769,78.919,79.074,79.234,79.398,79.565,79.738,79.914,80.095,80.279
Costa Rica,CRI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.7,5,5.2,5,4.4,3.9,3.8,3.9,4.3,4.6,5,5,4.9,4.7,4.1,3.6,3.2,3.2,3.4
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.495,49.475,49.572,49.788,50.12,50.561,51.091,51.682,52.313,52.964,53.62,54.271,54.906,55.508,56.065,56.567,57.017,57.422,57.783
Cote d'Ivoire,CIV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,20.4,21,20.6,19.3,18.3,17.6,17.9,18.2,16.3,13.6,10.9,10,9.9,9.2,8.3,6.9,6,5.2,4.7
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.5129268292683,74.7173170731707,74.6139024390244,75.520243902439,75.2446341463415,75.8368292682927,75.7056097560976,75.9121951219512,76.1682926829268,76.4756097560976,76.7756097560976,76.9243902439024,77.1268292682927,77.4780487804878,77.2756097560976,78.0219512195122,77.8268292682927,78.0707317073171,78.4243902439025
Croatia,HRV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.8,4.6,3.7,3.1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.905,77.105,77.303,77.499,77.688,77.864,78.019,78.15,78.256,78.338,78.4,78.446,78.485,78.521,78.561,78.607,78.662,78.726,78.802
Cuba,CUB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,74.709756097561,75.3634146341464,75.309756097561,76.1560975609756,..,77.4731707317073,77.5243902439024,77.8268292682927,77.9756097560976,78.0756097560976,77.719512195122,78.0170731707317,..,..
